orderId,imageFileName,name,waitSeconds,effectSeconds,categoryId
1,1.png,火属性強化,20,100,attribute
2,2.png,水属性強化,15,90,attribute
3,3.png,風属性強化,25,110,attribute
4,4.png,発動率上昇,10,60,activation
5,5.png,連続発動,20,80,activation
6,6.png,確定発動,30,45,activation
7,7.png,MP回復,30,90,mp
8,8.png,MP消費軽減,15,120,mp
9,9.png,MP上限増加,20,150,mp
10,10.png,盾強化,20,120,shield
11,11.png,全体防御,35,90,shield
12,12.png,反射障壁,25,75,shield
13,13.png,行動加速,15,45,other
14,14.png,クールダウン短縮,20,100,other
15,15.png,効果延長,10,80,other
16,16.png,戦術加速の陣,5,0,other
17,17.png,大天光の覚醒妨害,20,90,other
